"0.ogg","Startup sound"
"112.ogg","Place robot back onto the self-wash base before use."
"113.ogg","Task completed. Please empty waste tank timely."
"114.ogg","Mop pads installed."
"115.ogg","Mop pads removed."
"116.ogg","Child lock on. Buttons locked."
"117.ogg","Child lock off. Buttons unlocked."
"118.ogg","Buttons locked. Press and hold the dock button to unlock."
"119.ogg","Buttons locked."
"120.ogg","Buttons unlocked."
"121.ogg","The robot and the phone are connected. Please return to the Fantic app and wait for the network connection to complete."
"122.ogg","Continuous positioning, please wait."
"126.ogg","Start cleaning."
"127.ogg","Start spot cleaning."
"128.ogg","Start spot mopping."
"129.ogg","Start scheduled cleaning."
"130.ogg","Start scheduled mopping."
"131.ogg","Start spot cleaning."
"132.ogg","Start spot mopping."
"133.ogg","Start selected room cleaning."
"134.ogg","Start selected room mopping."
"135.ogg","Start zoned cleaning."
"136.ogg","Start zoned mopping."
"137.ogg","Resume cleaning."
"138.ogg","Resume mopping."
"139.ogg","Resume returning to the base for self-cleaning."
"140.ogg","New environment is detected. Returning to the self-wash base."
"141.ogg","Mop pad error. Please check and clean it."
"142.ogg","Mop pad worn out. Please replace it timely."
"143.ogg","Cleaning completed."
"144.ogg","Mopping completed."
"145.ogg","Positioning successful. Resume cleaning."
"146.ogg","Positioning successful. Resume mopping."
"148.ogg","Return to the base for self-cleaning."
"149.ogg","Unable to reach the specified area. Please try to clear obstacles in the path."
"150.ogg","Unable to reach the specified area. Please try to delete no-go zones in the path."
"151.ogg","The path is blocked. Please try to clear obstacles around your robot."
"152.ogg","The path is blocked. Please try to delete no-go zones or move your robot out of this area."
"153.ogg","Your robot is detected in the no-go zone. Please move your robot out of this area."
"154.ogg","Operated too frequently. Please try again later."
"155.ogg","Start to return to the charging and the mop cleaning dock."
"156.ogg","Mop pad tray uninstalled."
"157.ogg","Am already at the charging and the mop cleaning dock."
"200.ogg","Shutdown sound"
